,Zone,seq,timestamp,taget_seq,taget,mac,rssi,rate,sig_mode,mcs,cwb,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel_primary,channel_secondary,local_timestamp,ant,sig_len,rx_state,len,first_word_invalid,data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSI_DATA,1,6433,18:13.7,20,move,1a:00:00:00:00:00,-44,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67420038,0,44,0,104,0,8,0,8,0,9,0,9,0,8,0,8,0,8,0,8,0,8,-1,8,-1,8,-1,8,-2,8,-2,8,-2,7,-2,8,-3,7,-3,7,-3,7,-4,7,-3,7,-3,7,-4,7,-4,7,-5,8,-5,8,-5,7,-5,8,-6,8,-6,8,-6,8,-5,8,-5,8,-5,8,-4,8,-5,8,-4,8,-4,8,-4,8,-4,8,-4,8,-3,8,-3,8,-3,7,-2,7,-2,7,-2,7,-1,7,-1,7,-1,7,-1,6,0,6,1
CSI_DATA,1,6434,18:13.7,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67431096,0,44,0,104,0,-7,6,-7,5,-6,6,-7,5,-6,5,-7,6,-6,6,-6,6,-6,6,-6,6,-5,6,-5,7,-5,6,-5,7,-4,7,-4,7,-4,7,-4,7,-3,7,-4,7,-4,8,-3,8,-3,8,-2,9,-3,9,-3,9,-2,9,-3,9,-3,10,-2,9,-3,9,-3,9,-3,9,-4,9,-3,9,-3,8,-4,9,-4,8,-4,8,-4,7,-4,7,-4,7,-4,7,-4,7,-4,6,-4,6,-5,6,-5,5,-5,5,-6,5,-5,4,-5,4
CSI_DATA,1,6435,18:13.7,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67442984,0,44,0,104,0,-4,7,-4,8,-3,8,-3,8,-3,8,-3,8,-3,8,-2,7,-3,8,-2,7,-2,8,-2,8,-1,8,-1,8,-2,8,0,9,0,9,0,8,0,8,0,8,0,8,1,9,1,9,2,9,1,10,2,9,1,10,1,10,1,10,2,10,1,9,0,10,0,10,0,10,0,10,0,10,0,10,-1,9,-1,9,-1,9,-2,8,-1,9,-2,8,-2,8,-2,8,-2,7,-3,7,-3,6,-3,6,-3,6,-4,5,-4,5
CSI_DATA,1,6436,18:13.7,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67450199,0,44,0,104,0,-2,-9,-2,-9,-3,-9,-2,-9,-2,-9,-2,-9,-3,-9,-3,-9,-3,-9,-4,-8,-4,-9,-5,-8,-5,-8,-5,-8,-4,-7,-6,-8,-6,-7,-6,-8,-6,-6,-7,-8,-6,-7,-7,-7,-7,-7,-8,-7,-8,-7,-8,-7,-9,-7,-9,-8,-9,-7,-9,-8,-8,-8,-8,-9,-8,-8,-7,-8,-8,-8,-7,-8,-7,-9,-6,-8,-6,-8,-6,-8,-6,-8,-5,-8,-5,-8,-4,-8,-4,-8,-4,-7,-4,-7,-3,-8,-3,-7,-2,-7,-2,-7,-1,-7
CSI_DATA,1,6437,18:13.7,20,move,1a:00:00:00:00:00,-45,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67476661,0,44,0,104,0,5,-7,6,-7,5,-8,5,-7,5,-8,5,-8,4,-8,4,-8,4,-8,3,-8,4,-8,3,-9,3,-8,2,-8,2,-8,1,-9,1,-9,1,-9,0,-9,1,-9,1,-9,0,-10,0,-10,-1,-11,-1,-11,-1,-11,-1,-11,-1,-12,-1,-12,-1,-11,0,-11,0,-12,0,-11,0,-11,0,-11,1,-11,1,-11,2,-11,2,-10,2,-10,2,-9,2,-10,2,-9,2,-8,3,-7,2,-7,3,-7,3,-7,4,-6,4,-6,3,-5,4,-4
CSI_DATA,1,6438,18:13.7,20,move,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67476784,0,44,0,104,0,-1,8,0,8,1,8,0,9,0,8,0,8,1,8,0,8,1,8,1,7,1,8,2,7,2,7,3,7,2,7,4,7,4,7,5,6,5,6,5,6,5,6,6,6,5,6,6,6,6,6,7,7,7,7,7,7,7,8,8,7,6,7,6,8,7,8,6,8,6,8,6,8,5,8,5,8,4,8,4,8,3,8,3,8,3,8,2,7,2,7,2,7,2,7,1,6,0,6,0,6,-1,6,-1,5
CSI_DATA,1,6439,18:13.7,20,move,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67479941,0,44,0,104,0,9,3,9,2,8,2,9,2,9,2,8,2,8,1,8,1,8,1,8,0,8,0,9,-1,8,-1,8,-1,8,-1,8,-2,8,-3,7,-3,8,-3,8,-3,8,-3,8,-5,8,-4,9,-5,9,-6,9,-5,10,-6,10,-6,10,-6,10,-6,10,-6,10,-5,10,-5,10,-4,10,-4,10,-3,11,-4,10,-3,10,-3,9,-2,9,-1,9,-2,9,-2,8,-2,8,0,7,0,7,0,7,-1,7,0,6,1,5,2,5,2
CSI_DATA,1,6440,18:13.7,20,move,1a:00:00:00:00:00,-46,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67490739,0,44,0,104,0,-7,-6,-9,-6,-8,-6,-8,-6,-8,-5,-8,-5,-8,-5,-8,-5,-8,-4,-8,-3,-8,-4,-8,-3,-8,-3,-9,-2,-8,-2,-8,-2,-8,-1,-8,-1,-8,0,-9,0,-9,0,-9,1,-9,1,-10,2,-10,2,-9,2,-11,3,-11,2,-11,3,-11,3,-11,2,-11,2,-12,2,-11,2,-12,1,-12,1,-12,0,-11,1,-10,1,-10,0,-10,0,-10,-1,-10,-1,-9,-1,-9,-2,-8,-2,-9,-2,-8,-2,-7,-2,-7,-3,-6,-4,-6,-4
CSI_DATA,1,6441,18:13.7,20,move,1a:00:00:00:00:00,-48,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67503565,0,44,0,104,0,-7,1,-8,1,-8,2,-7,2,-7,2,-7,1,-7,2,-7,2,-6,3,-6,2,-6,3,-6,3,-6,3,-5,3,-5,3,-5,4,-5,4,-4,4,-4,5,-4,5,-4,5,-3,5,-3,5,-3,6,-3,6,-3,7,-2,7,-3,8,-3,8,-3,8,-4,8,-3,8,-4,8,-4,7,-3,7,-3,7,-4,7,-5,7,-5,7,-5,6,-5,6,-5,6,-5,6,-4,5,-5,5,-5,4,-5,4,-5,4,-5,3,-6,3,-5,2,-5,1
CSI_DATA,1,6442,18:13.8,20,move,1a:00:00:00:00:00,-47,11,1,0,1,1,1,0,0,0,1,-97,0,11,2,67510116,0,44,0,104,0,7,1,6,0,7,0,7,0,7,0,6,0,6,-1,6,-1,6,-1,6,-1,6,-1,6,-2,6,-2,5,-3,5,-3,5,-3,5,-4,4,-4,4,-4,4,-5,4,-5,4,-5,4,-5,3,-6,4,-7,3,-7,3,-8,4,-8,4,-9,3,-8,4,-8,4,-9,4,-9,4,-8,5,-8,5,-8,5,-8,5,-8,5,-8,5,-7,6,-7,6,-7,6,-7,5,-6,6,-5,5,-5,6,-5,6,-5,6,-4,6,-4,6,-3,5,-2
